index,TCP_Number,Year,cleaned_year
4234,A14439,1637,1637
4235,A14442,1638,1638
4236,A14444,1490,1490
4237,A14448,1500,1500
4238,A14476,1490,1490
4239,A14477,1553,1553
4240,A14485,1582,1582
4241,A14487,1632,1632
4242,A14490,1634,1634
4243,A14494,1620,1620
4244,A14497,1628,1628
4245,A14498,1634,1634
4246,A14500,1628,1628
4247,A14510,1622,1622
4248,A14511,1610,1610
4249,A14512,1610,1610
4250,A14513,1609,1609
4251,A14514,1610,1610
4252,A14516,1611,1611
4253,A14517,1613,1613
4254,A14518,1610,1610
4255,A14519,1616,1616
4256,A14520,1617,1617
4257,A14521,1620,1620
4258,A14526,1622,1622
4259,A14530,1544,1544
4260,A14531,1550,1550
4261,A14538,1555,1555
4262,A14548,1480,1480
4263,A14556,1640,1640
4264,A14559,1483,1483
4265,A14573,1584,1584
4266,A14574,1575,1575
4267,A14575,1575,1575
4268,A14576,1575,1575
4269,A14577,1584,1584
4270,A14585,1592,1592
4271,A14588,1580,1580
4272,A14590,1640,1640
4273,A14591,1600,1600
4274,A14592,1580,1580
4275,A14593,1603,1603
4276,A14594,1631,1631
4277,A14602,1591,1591
4278,A14605,1615,1615
4279,A14608,1610,1610
4280,A14610,1623,1623
4281,A14611,1582,1582
4282,A14612,1615,1615
4283,A14614,1624,1624
4284,A14615,1629,1629
4285,A14618,1630,1630
4286,A14621,1630,1630
4287,A14625,1566,1566
4288,A14630,1624,1624
4289,A14651,1595,1595
4290,A14653,1638,1638
4291,A14656,1624,1624
4292,A14657,1624,1624
4293,A14659,1555,1555
4294,A14660,1616,1616
4295,A14664,1600,1600
4296,A14665,1607,1607
4297,A14668,1599,1599
4298,A14669,1620,1620
4299,A14670,1608,1608
4300,A14671,1630,1630
4301,A14696,1566,1566
4302,A14700,1545,1545
4303,A14705,1508,1508
4304,A14706,1533,1533
4305,A14710,1572,1572
4306,A14713,1560,1560
4307,A14715,1576,1576
4308,A14719,1609,1609
4309,A14720,1613,1613
4310,A14722,1639,1639
4311,A14727,1640,1640
4312,A14731,1622,1622
4313,A14732,1618,1618
4314,A14736,1615,1615
4315,A14742,1621,1621
4316,A14745,1618,1618
4317,A14750,1621,1621
4318,A14753,1622,1622
4319,A14755,1624,1624
4320,A14757,1622,1622
4321,A14770,1633,1633
4322,A14779,1586,1586
4323,A14783,1597,1597
4324,A14785,1584,1584
4325,A14793,1605,1605
